id,Fulfill Building Line,Setbacks,f(BCR),f(PAR),FSH(Sunlight Hours),f(FSH),f(SSR),AR(Aspect Ratio),f(AR),f(VSymm),f(HSymm),f(CC)
0,Failure,Failure,1.0,0.21333333333333335,4.75,0.5,1.5,1.5,0.9270509831248422,0.5,0.33333333333333337,3
0,Failure,Failure,1.0,0.28402366863905326,5.75,0.6052631578947368,1.25,1.25,0.7725424859373685,0.5833333333333333,0.33333333333333337,3
0,Failure,Failure,1.0,0.39669421487603307,4.75,0.5,1.5,1.5,0.9270509831248422,0.5833333333333333,0.25,1
0,Failure,Failure,1.0,0.28402366863905326,6.0,0.631578947368421,1.5,1.5,0.9270509831248422,0.5,0.33333333333333337,1
0,Failure,Failure,1.0,0.16608996539792387,0,0.0,1.5,1.5,0.9270509831248422,0.5,0.25,5
0,Failure,Failure,1.0,0.28402366863905326,5.25,0.5526315789473685,1.5,1.5,0.9270509831248422,0.5,0.16666666666666663,3
0,Failure,Failure,1.0,0.28402366863905326,3.0,0.3157894736842105,1.5,1.5,0.9270509831248422,0.5833333333333333,-0.16666666666666674,2
0,Failure,Failure,1.0,0.24489795918367346,3.0,0.3157894736842105,1.25,1.25,0.7725424859373685,0.6666666666666667,0.0,3
0,Failure,Failure,1.0,0.28402366863905326,3.0,0.3157894736842105,1.25,1.6666666666666667,0.9708203932499369,0.9166666666666666,0.6666666666666667,3
0,Failure,Failure,1.0,0.24489795918367346,4.0,0.42105263157894735,1.25,1.25,0.7725424859373685,0.75,0.41666666666666663,3
0,Failure,Failure,1.0,0.21333333333333335,4.75,0.5,1.5,1.5,0.9270509831248422,0.5,-0.25,3
0,Failure,Failure,1.0,0.16608996539792387,4.0,0.42105263157894735,1.5,1.5,0.9270509831248422,0.75,0.0,5
0,Failure,Failure,1.0,0.24489795918367346,5.25,0.5526315789473685,1.5,1.5,0.9270509831248422,0.5833333333333333,0.41666666666666663,4
0,Failure,Failure,1.0,0.24489795918367346,6.5,0.6842105263157895,1.5,1.5,0.9270509831248422,0.75,0.5,3
0,Failure,Failure,1.0,0.21333333333333335,4.0,0.42105263157894735,1.5,1.5,0.9270509831248422,0.41666666666666663,0.41666666666666663,3
0,Failure,Failure,1.0,0.1875,5.25,0.5526315789473685,1.5,1.5,0.9270509831248422,0.5,0.16666666666666663,4
0,Failure,Failure,1.0,0.28402366863905326,5.25,0.5526315789473685,1.5,1.5,0.9270509831248422,0.5,0.16666666666666663,3
0,Failure,Failure,1.0,0.21333333333333335,4.75,0.5,1.5,1.5,0.9270509831248422,0.5,0.33333333333333337,3
0,Success,Failure,1.0,0.48,5.75,0.6052631578947368,1.25,1.6666666666666667,0.9708203932499369,0.9166666666666666,0.9166666666666666,1
0,Failure,Failure,1.0,0.28402366863905326,3.0,0.3157894736842105,1.5,1.5,0.9270509831248422,0.5833333333333333,-0.16666666666666674,2
0,Failure,Failure,1.0,0.24489795918367346,0,0.0,1.25,1.25,0.7725424859373685,0.8333333333333334,0.25,3
0,Failure,Failure,1.0,0.24489795918367346,6.5,0.6842105263157895,1.5,1.5,0.9270509831248422,0.75,0.5,3
0,Failure,Failure,1.0,0.48,7.0,0.7368421052631579,1.5,1.5,0.9270509831248422,0.9166666666666666,0.41666666666666663,1
0,Failure,Failure,1.0,0.24489795918367346,5.75,0.6052631578947368,1.5,1.5,0.9270509831248422,0.8333333333333334,0.5,3
0,Failure,Failure,1.0,0.24489795918367346,5.75,0.6052631578947368,1.5,1.5,0.9270509831248422,0.75,-0.08333333333333326,3
0,Failure,Failure,1.0,0.48,5.75,0.6052631578947368,1.25,1.25,0.7725424859373685,0.6666666666666667,0.5,1
0,Failure,Failure,1.0,0.39669421487603307,3.0,0.3157894736842105,1.5,1.5,0.9270509831248422,0.75,0.25,1
0,Failure,Failure,1.0,0.1875,5.25,0.5526315789473685,1.5,1.5,0.9270509831248422,0.5,0.16666666666666663,4
0,Failure,Failure,1.0,0.48,3.0,0.3157894736842105,1.25,1.6666666666666667,0.9708203932499369,0.9166666666666666,0.75,1
0,Failure,Failure,1.0,0.1875,4.0,0.42105263157894735,1.5,1.5,0.9270509831248422,0.75,0.25,4
0,Failure,Failure,1.0,0.28402366863905326,5.25,0.5526315789473685,1.5,1.5,0.9270509831248422,0.5,0.16666666666666663,3
0,Failure,Failure,1.0,0.21333333333333335,4.75,0.5,1.5,1.5,0.9270509831248422,0.5,-0.25,3
0,Failure,Failure,1.0,0.24489795918367346,5.75,0.6052631578947368,1.5,1.5,0.9270509831248422,0.75,-0.08333333333333326,3
0,Failure,Failure,1.0,0.24489795918367346,6.5,0.6842105263157895,1.5,1.5,0.9270509831248422,0.5,0.41666666666666663,3
0,Failure,Failure,1.0,0.48,4.0,0.42105263157894735,1.25,1.25,0.7725424859373685,0.6666666666666667,0.6666666666666667,1
0,Failure,Failure,1.0,0.48,0,0.0,1.5,2.0,0.8090169943749475,1.0,0.16666666666666663,1
0,Failure,Failure,1.0,0.48,0,0.0,1.5,2.0,0.8090169943749475,1.0,0.16666666666666663,1
0,Failure,Failure,1.0,0.39669421487603307,3.0,0.3157894736842105,1.25,1.25,0.7725424859373685,0.6666666666666667,0.6666666666666667,1
0,Failure,Failure,1.0,0.28402366863905326,5.25,0.5526315789473685,1.5,1.5,0.9270509831248422,0.5,0.16666666666666663,3
0,Failure,Failure,1.0,0.28402366863905326,6.0,0.631578947368421,1.5,1.5,0.9270509831248422,0.41666666666666663,0.5,3
